"ID","sender","condition","age","gender","language","profession","subject","level_education","quality","comments"
"3136","Demographic control","B","23","female","german","student","subject01","degree","serious",""
"3135","Demographic control","A","34","male","german","employed_full","no_student","degree","serious",""
"3134","Demographic control","B","25","male","german","student","other","degree","serious","Ingenieurswissenschaften fehlen in der Aufzählung der Studiengänge."
"3133","Demographic control","A","20","male","german","student","other","higher","serious",""
"3132","Demographic control","B","36","male","german","employed_self","no_student","degree","serious","zwischendurch nach etwa drei Fragen hatte ich einen Fehler, wo die Seite auf einmal nicht mehr angezeigt wurde und es empfohlen wurde, zurückzugehen, woraufhin ich aber die ganze Studie noch einmal neu machen musste."
"3131","Demographic control","A","19","male","german","student","other","degree","serious",""
"3130","Demographic control","B","24","female","german","student","subject04","degree","serious",""
"3129","Demographic control","A","37","female","german","employed_full","no_student","degree","serious",""
"3128","Demographic control","B","18","male","german","apprentice","no_student","higher","serious",""
"3127","Demographic control","B","21","female","german","student","subject03","higher","serious",""
"3126","Demographic control","A","20","male","german","student","subject07","higher","serious",""
"3123","Demographic control","A","19","female","german","student","subject01","higher","serious",""
"3122","Demographic control","A","27","male","german","employed_full","no_student","vocation_train","serious",""
"3121","Demographic control","A","20","female","german","student","other","higher","serious",""
"3120","Demographic control","A","54","male","german","unemployed","no_student","other","serious",""
"3119","Demographic control","A","25","female","german","employed_part","no_student","vocation_train","serious",""
"3118","Demographic control","A","27","female","german","unemployed","no_student","vocation_train","serious",""
"3117","Demographic control","B","19","female","german","pupil","no_student","higher","serious",""
"3116","Demographic control","B","21","male","german","student","subject03","higher","serious",""
"3115","Demographic control","A","25","female","german","student","other","degree","serious",""
"3114","Demographic control","A","29","female","german","student","subject10","degree","serious",""
"3110","Demographic control","A","27","male","german","student","other","vocation_train","serious",""
"3108","Demographic control","B","23","female","german","student","subject09","higher","serious",""
"3107","Demographic control","A","19","female","german","student","subject07","higher","serious",""
"3106","Demographic control","B","21","female","german","student","other","higher","serious",""
"3105","Demographic control","B","31","female","german","employed_full","no_student","degree","serious",""
"3104","Demographic control","A","28","male","german","student","other","higher","serious",""
"3100","Demographic control","A","48","male","german","employed_full","no_student","degree","serious",""
"3099","Demographic control","B","19","male","german","student","no_ans","secondary","serious",""
"3097","Demographic control","A","23","male","german","student","subject01","degree","serious",""
"3096","Demographic control","A","34","male","german","employed_part","no_student","degree","serious",""
"3094","Demographic control","B","23","female","german","student","other","higher","serious",""
"3093","Demographic control","A","19","female","german","student","other","higher","serious",""
"3092","Demographic control","A","29","male","german","employed_self","no_student","degree","serious",""
"3091","Demographic control","A","23","female","german","student","subject09","higher","serious",""
"3090","Demographic control","A","53","female","german","employed_part","no_student","higher","serious",""
"3089","Demographic control","B","21","male","german","student","subject03","higher","serious",""
"3087","Demographic control","A","22","female","german","student","subject01","higher","serious",""
"3086","Demographic control","A","18","male","german","student","subject03","higher","serious",""
"3085","Demographic control","A","29","male","german","student","subject07","degree","serious",""
"3084","Demographic control","A","19","female","german","student","other","higher","serious",""
"3083","Demographic control","A","24","female","german","student","other","higher","serious",""
"3082","Demographic control","A","19","female","german","apprentice","no_student","higher","serious",""
"3081","Demographic control","A","32","male","german","employed_self","no_student","degree","serious",""
"3080","Demographic control","A","23","female","german","student","subject07","degree","serious",""
"3079","Demographic control","A","18","female","german","no_ans","no_student","higher","serious",""
"3078","Demographic control","B","19","female","german","student","subject10","higher","serious",""
"3077","Demographic control","A","20","female","german","student","other","higher","serious",""
"3076","Demographic control","B","19","female","german","student","subject04","higher","serious",""
"3075","Demographic control","B","36","male","german","unemployed","no_student","higher","serious",""
"3073","Demographic control","A","18","female","german","pupil","other","secondary","serious",""
"3072","Demographic control","B","35","male","german","unemployed","no_student","degree","serious",""
"3071","Demographic control","B","21","male","german","unemployed","no_student","higher","serious",""
"3069","Demographic control","B","24","female","german","student","other","degree","serious",""
"3068","Demographic control","A","25","male","german","student","other","higher","serious",""
"3067","Demographic control","A","37","male","german","employed_full","no_student","higher","serious",""
"3066","Demographic control","A","60","female","german","other","no_student","higher","serious",""
"3065","Demographic control","B","31","male","german","no_ans","no_student","degree","serious",""
"3064","Demographic control","A","22","male","german","student","subject03","higher","serious",""
"3063","Demographic control","A","20","female","german","student","subject04","higher","serious",""
"3062","Demographic control","B","37","male","german","employed_full","no_student","degree","serious",""
"3061","Demographic control","A","35","female","german","employed_part","no_student","higher","serious",""
"3060","Demographic control","A","23","female","german","student","subject08","higher","serious",""
"3058","Demographic control","A","27","male","german","employed_self","no_student","vocation_train","serious",""
"3057","Demographic control","B","20","female","german","student","subject10","higher","serious",""
"3055","Demographic control","B","38","female","german","employed_full","no_student","degree","serious",""
"3054","Demographic control","B","20","female","german","student","other","higher","serious",""
"3053","Demographic control","B","25","female","german","student","subject10","vocation_train","serious",""
"3051","Demographic control","B","20","female","german","student","subject07","higher","serious",""
"3050","Demographic control","A","19","female","german","student","subject06","higher","serious",""
"3049","Demographic control","B","19","female","german","student","other","higher","serious",""
"3048","Demographic control","B","19","female","german","student","other","higher","serious",""
"3047","Demographic control","B","21","female","german","other","no_student","higher","serious",""
"3045","Demographic control","B","22","female","german","student","subject08","higher","serious",""
"3043","Demographic control","B","19","female","german","student","other","higher","serious",""
"3042","Demographic control","B","40","male","german","employed_full","no_student","degree","serious",""
"3041","Demographic control","A","21","female","german","student","other","higher","serious",""
"3040","Demographic control","B","24","female","german","student","other","degree","serious",""
"3039","Demographic control","A","30","male","german","employed_full","no_student","degree","serious","Ggf. wäre es sinnvoll noch eine Abfrage je Fragerunde zu machen, wie sicher man sich ist. Bei manchen Themen war ich mir sehr sicher, bei manchen war ich mir eher unsicher."
"3037","Demographic control","B","28","male","german","student","subject04","degree","serious",""
"3036","Demographic control","B","20","female","german","student","other","higher","serious",""
"3035","Demographic control","B","19","female","german","other","no_student","higher","serious",""
"3034","Demographic control","A","19","male","german","student","subject04","higher","serious",""
"3033","Demographic control","A","18","female","german","student","other","higher","serious",""
"3032","Demographic control","B","24","male","german","apprentice","no_student","primary","serious","nein"
"3031","Demographic control","B","28","male","german","student","other","higher","serious",""
"3030","Demographic control","A","28","male","german","student","subject03","degree","serious",""
"3029","Demographic control","B","27","male","german","student","other","higher","serious","Es war eine sehr angenehme Umfrage."
"3028","Demographic control","A","18","male","german","student","subject08","higher","serious",""
"3027","Demographic control","B","23","female","german","student","subject10","higher","serious",""
"3026","Demographic control","A","25","female","german","student","subject08","degree","serious",""
"3025","Demographic control","B","18","female","german","student","other","higher","serious",""
"3024","Demographic control","A","18","female","german","pupil","subject01","higher","serious","Die Studie war sehr übersichtlich und verständlich gestaltet."
"3022","Demographic control","A","29","female","german","employed_part","no_student","degree","serious",""
"3021","Demographic control","A","35","female","german","employed_full","no_student","degree","serious",""
"3020","Demographic control","A","27","female","german","student","subject09","higher","serious",""
"3019","Demographic control","A","23","female","german","student","subject07","degree","serious",""
"3018","Demographic control","B","21","female","german","pupil","no_student","secondary","serious",""
"3017","Demographic control","B","29","male","german","student","subject03","vocation_train","serious",""
"3015","Demographic control","A","22","female","german","employed_part","other","higher","serious",""
"3014","Demographic control","B","24","male","german","student","subject10","vocation_train","serious",""
"3013","Demographic control","B","34","male","german","employed_full","no_student","degree","serious",""
"3011","Demographic control","A","30","male","german","unemployed","no_student","vocation_train","serious",""
"3012","Demographic control","A","45","female","german","employed_self","no_student","degree","serious",""
"3010","Demographic control","A","39","male","german","employed_full","no_student","vocation_train","serious",""
"3008","Demographic control","B","21","female","german","student","subject03","higher","serious",""
"3006","Demographic control","B","19","non-binary","german","pupil","no_ans","secondary","serious",""
"3007","Demographic control","B","24","female","german","student","other","higher","serious",""
"3004","Demographic control","B","30","male","german","employed_part","subject08","degree","serious",""
"3003","Demographic control","B","28","male","german","employed_full","no_student","higher","serious",""
"3002","Demographic control","B","19","female","german","pupil","no_student","secondary","serious",""
"3001","Demographic control","A","27","female","german","student","other","degree","serious","Sehr spannende Studie, die zum Nachdenken anregt!"
"3000","Demographic control","B","40","male","german","employed_full","no_student","degree","serious",""
"2999","Demographic control","A","30","male","german","retired","no_student","higher","serious",""
"2998","Demographic control","A","41","female","german","homemaker","no_ans","vocation_train","serious",""
"2997","Demographic control","A","21","male","german","employed_full","no_student","higher","serious",""
"2995","Demographic control","A","25","non-binary","german","employed_full","no_student","higher","serious",""
"2994","Demographic control","A","26","male","german","student","other","degree","serious",""
"2993","Demographic control","B","18","female","german","pupil","no_ans","higher","serious",""
"2992","Demographic control","A","36","male","german","employed_full","no_student","degree","serious",""
"2991","Demographic control","B","33","female","german","employed_full","no_student","higher","serious",""
"2990","Demographic control","A","50","female","german","employed_part","no_student","vocation_train","serious",""
"2989","Demographic control","A","29","male","german","no_ans","no_student","secondary","serious",""
"2987","Demographic control","B","53","male","german","employed_full","no_student","degree","serious",""
"2986","Demographic control","A","23","female","german","student","subject10","higher","serious",""
"2985","Demographic control","B","27","female","german","student","subject03","higher","serious",""
"2984","Demographic control","A","23","male","german","apprentice","no_student","higher","serious",""
"2983","Demographic control","B","28","female","german","employed_self","no_student","degree","serious",""
"2980","Demographic control","A","20","female","german","student","other","higher","serious",""
"2979","Demographic control","B","50","male","german","employed_full","no_student","vocation_train","serious",""
"2978","Demographic control","B","22","non-binary","german","student","other","higher","serious",""
"2977","Demographic control","B","20","male","german","student","subject07","higher","serious",""
"2975","Demographic control","B","23","male","german","student","subject03","higher","serious",""
"2974","Demographic control","A","28","male","german","employed_part","no_student","degree","serious","Nette interaktive Studie, hat Spaß gemacht und etwas zum nachdenken angeregt. "
"2973","Demographic control","B","22","male","german","apprentice","no_student","higher","serious",""
"2972","Demographic control","B","20","female","german","student","other","higher","serious","Es wäre sehr interessant, die tatsächlichen Wahrscheinlichkeiten zu erfahren."
"2971","Demographic control","B","56","male","german","retired","no_student","degree","serious",""
"2970","Demographic control","B","19","female","german","student","other","higher","serious",""
"2968","Demographic control","A","44","male","german","employed_part","no_student","higher","serious",""
"2967","Demographic control","A","33","female","german","employed_full","no_student","degree","serious",""
"2966","Demographic control","B","24","female","german","student","other","higher","serious","Die Studie ist sehr verständlich und gut aufgebaut/gestaltet! "
"2965","Demographic control","A","31","female","german","employed_full","no_student","degree","serious",""
"2964","Demographic control","A","51","male","german","employed_full","no_student","higher","serious",""
"2963","Demographic control","A","33","male","german","employed_full","no_student","degree","serious",""
"2962","Demographic control","B","20","female","german","student","subject08","higher","serious",""
"2961","Demographic control","B","31","male","german","employed_full","subject07","degree","serious",""
"2960","Demographic control","B","31","male","german","employed_full","no_student","degree","serious","Einige Punkte hätte ich sehr gerne gleich gewichten können. "
"2957","Demographic control","A","46","male","german","employed_full","no_student","higher","serious",""
"2954","Demographic control","B","21","male","german","student","other","higher","serious","die Studie hat mir sehr gefallen & es hat sogar ein wenig Spaß gemacht, sich über solche Dinge Gedanken zu machen!"
"2951","Demographic control","B","23","male","german","student","subject02","higher","serious",""
"2950","Demographic control","B","46","male","german","employed_self","no_student","degree","serious",""
"2949","Demographic control","A","19","male","german","pupil","no_ans","higher","serious",""
"2948","Demographic control","B","24","male","german","student","other","higher","serious","Mir war nicht ganz klar ob ein Ingenieur Studium unter Mathematik und Informatik fällt."
"2947","Demographic control","B","39","male","german","employed_full","no_student","degree","serious",""
"2945","Demographic control","A","24","female","german","student","other","degree","serious",""
"2943","Demographic control","A","38","female","german","retired","no_student","vocation_train","serious",""
"2942","Demographic control","B","38","male","german","employed_full","no_student","degree","serious",""
"2941","Demographic control","A","18","female","german","pupil","no_student","higher","serious",""
"2940","Demographic control","B","20","female","german","student","subject04","higher","serious",""
"2937","Demographic control","A","20","male","german","student","other","higher","serious",""
"2936","Demographic control","B","21","male","german","student","subject03","higher","serious","Die Möglichkeit, dass man mehrere Ereignisse auf die gleiche Stufe (gleiche Wahrscheinlichkeit) setzen kann."
"2935","Demographic control","B","24","male","german","other","no_ans","secondary","serious",""
"2934","Demographic control","A","22","male","german","unemployed","no_student","secondary","serious",""
"2933","Demographic control","A","19","male","german","student","subject01","higher","serious",""
"2932","Demographic control","B","32","female","german","employed_full","no_student","degree","serious",""
"2930","Demographic control","A","27","male","german","employed_full","no_student","higher","serious",""
"2929","Demographic control","A","36","female","german","employed_full","no_student","degree","serious",""
"2928","Demographic control","A","25","male","german","employed_full","no_student","higher","serious",""
"2927","Demographic control","B","31","male","german","employed_self","no_student","degree","serious",""
"2926","Demographic control","B","38","male","german","employed_full","no_student","degree","serious","Hat spaß gemacht"
"2924","Demographic control","B","23","female","german","student","subject03","degree","serious",""
"2923","Demographic control","A","35","female","german","employed_full","no_student","degree","serious",""
"2922","Demographic control","B","27","female","german","employed_full","no_student","degree","serious",""
"2921","Demographic control","B","19","male","german","student","subject03","higher","serious",""
"2920","Demographic control","A","18","female","german","no_ans","no_ans","secondary","serious",""
"2919","Demographic control","B","22","female","german","student","subject10","higher","serious",""
"2918","Demographic control","A","46","male","german","employed_full","no_student","degree","serious","fands tatsächlich interessant (passiert selten genug) und werde ein paar der ""fragen"", an die ich mich noch erinnere, gleich mal googeln .. :)"
